bairro,tipo_imovel,area_construida,area_terreno,quartos,banheiros,preco
Sunset Garden,Terreno,0,196,0,0,253075
Vila Santa Isabel,Casa,59,171,2,1,253561
Jardim Bela Vista,Casa,52,167,2,1,254194
Residencial Terras de São José,Apartamento,59,0,2,1,254526
Parque Meia Lua,Apartamento,64,0,3,2,254755
Jardim Nova Esperança,Casa,101,330,2,2,255054
Vila Formosa,Apartamento,81,0,3,2,255089
Residencial Villa Lobos,Terreno,0,614,0,0,255301
Vila Zezinho,Apartamento,90,0,3,2,255528
Jardim Alvorada,Casa,85,193,2,2,256124
Jardim das Oliveiras,Apartamento,71,0,3,2,256175
Jardim Primavera,Apartamento,66,0,2,1,256443
Centro,Apartamento,36,0,1,1,256500
Chácaras Reunidas Igarapés,Casa,77,215,2,1,256596
Jardim Bela Vista,Apartamento,97,0,3,3,256749
Jardim São José,Terreno,0,548,0,0,257176
Jardim Novo Horizonte,Apartamento,75,0,2,2,257580
Vila Machado,Apartamento,82,0,3,2,258300
Vila Garcia,Apartamento,90,0,2,2,258723
Vila Zilda,Terreno,0,430,0,0,258817
Parque Meia Lua,Casa,86,146,4,2,259311
Jardim Nova Esperança,Apartamento,59,0,2,2,259529
Vila Elvira,Terreno,0,886,0,0,260484
Jardim América,Casa,58,100,2,1,261123
Centro,Apartamento,57,0,2,1,261345
Vila Elvira,Terreno,0,892,0,0,261712
Jardim Alvorada,Casa,54,137,2,1,261826
Parque Residencial Flamboyant,Casa,59,148,2,1,261856
Cidade Salvador,Apartamento,77,0,2,1,262161
Chácaras Reunidas Igarapés,Casa,130,285,4,4,262499
Parque Meia Lua,Terreno,0,329,0,0,262591
Jardim Primavera,Casa,51,186,3,2,262710
Condomínio Portal de Jacareí,Apartamento,56,0,3,3,263169
Jardim Paraíba,Casa,59,138,3,2,263323
Vila Garcia,Casa,58,221,2,2,263508
Vila Zilda,Casa,80,196,3,3,264893
Cidade Salvador,Terreno,0,262,0,0,265275
Jardim Alvorada,Casa,74,254,2,2,265280
Jardim Alvorada,Casa,118,188,2,2,265425
Vila Elvira,Terreno,0,898,0,0,265628
Vila Garcia,Casa,76,150,2,2,266498
Parque dos Príncipes,Casa,47,176,2,1,266569
Jardim Panorama,Terreno,0,729,0,0,267907
Vila Industrial,Casa,76,229,2,1,268153
Vila Zilda,Casa,114,252,3,3,269166
Parque Residencial Flamboyant,Apartamento,83,0,3,2,269517
Vila Formosa,Casa,114,241,2,2,270262
Vila Zilda,Apartamento,97,0,2,2,270484
Vila Zilda,Casa,83,277,3,2,270611
Jardim São José,Casa,80,138,3,2,271150
Jardim Nova Esperança,Apartamento,136,0,5,4,271224
Jardim São José,Apartamento,63,0,3,2,272018
Jardim Califórnia,Apartamento,39,0,2,1,272415
Jardim Alvorada,Apartamento,110,0,2,1,272448
Jardim Alvorada,Casa,83,165,3,2,272631
Vila Elvira,Apartamento,99,0,3,2,273537
Jardim Paraíba,Apartamento,48,0,2,1,273696
Centro,Apartamento,39,0,1,1,273877
Jardim Paraíba,Apartamento,73,0,3,2,273896
Jardim das Oliveiras,Apartamento,64,0,3,2,275180
Jardim Panorama,Apartamento,106,0,3,3,275356
Jardim Panorama,Terreno,0,878,0,0,275955
Vila São Paulo,Apartamento,64,0,3,3,276048
Parque Meia Lua,Terreno,0,478,0,0,276284
Jardim Paraíba,Apartamento,65,0,3,2,276445
Jardim São José,Apartamento,51,0,2,1,276552
Parque Residencial Flamboyant,Apartamento,101,0,3,2,276820
Jardim Primavera,Casa,70,147,2,2,277158
Vila Formosa,Casa,76,154,2,2,277756
Jardim Nova Esperança,Casa,77,262,2,1,277828
Vila Machado,Apartamento,63,0,2,1,278170
Parque Imperial,Apartamento,45,0,1,1,278586
Vila São Paulo,Apartamento,127,0,4,3,278606
Jardim Nova Esperança,Apartamento,132,0,5,2,279048
Jardim do Lago,Terreno,0,300,0,0,279450
Jardim Novo Horizonte,Apartamento,132,0,4,3,279576
Vila Elvira,Apartamento,124,0,4,3,279669
Vila Nossa Senhora Aparecida,Terreno,0,465,0,0,280116
Parque Meia Lua,Terreno,0,770,0,0,282089
Centro,Casa,46,107,1,1,282271
Vila Branca,Apartamento,90,0,2,1,282645
Condomínio Portal de Jacareí,Casa,47,138,2,2,282884
Jardim Paraíba,Casa,53,115,3,3,283194
Jardim Califórnia,Casa,54,190,2,2,284196
Clube de Campo,Apartamento,51,0,3,2,284659
Centro,Apartamento,44,0,1,1,285065
Parque Imperial,Apartamento,83,0,3,3,285312
Parque Imperial,Apartamento,80,0,2,1,286352
Vila Elvira,Apartamento,137,0,3,3,286713
Jardim Santa Maria,Apartamento,50,0,1,1,286800
Vila Industrial,Casa,89,204,3,3,286989
Parque dos Príncipes,Apartamento,64,0,2,1,287001
Vila Machado,Terreno,0,461,0,0,287525
Jardim do Lago,Casa,45,119,1,1,287590
Vila Formosa,Casa,79,292,2,2,287680
Residencial Villa Lobos,Apartamento,37,0,1,1,287852
Residencial Villa Lobos,Terreno,0,281,0,0,287968
Jardim Nova Esperança,Casa,61,232,2,1,288162
Sunset Garden,Terreno,0,378,0,0,288489
Jardim do Lago,Terreno,0,713,0,0,288765
Residencial Villa Lobos,Casa,50,129,1,1,288898
Vila Formosa,Apartamento,156,0,4,3,289192
Jardim Paraíba,Apartamento,45,0,2,2,289665
Vila São Jorge,Apartamento,85,0,2,2,289782
Cidade Salvador,Casa,84,136,3,2,290160
Chácaras Reunidas Igarapés,Casa,113,179,4,4,290299
Jardim São José,Apartamento,91,0,2,2,290385
Vila Zilda,Casa,107,296,3,2,290694
Vila São Jorge,Casa,65,231,2,1,291152
Vila Zezinho,Casa,64,169,2,1,291547
Jardim Primavera,Casa,63,110,2,1,291564
Jardim Bela Vista,Apartamento,84,0,3,2,291740
Parque Meia Lua,Casa,99,221,3,3,291804
Jardim Panorama,Terreno,0,516,0,0,291849
Vila Formosa,Casa,115,186,3,3,292867
Vila Santa Isabel,Terreno,0,842,0,0,292931
Vila Formosa,Casa,93,245,3,2,293037
Vila Nossa Senhora Aparecida,Apartamento,110,0,4,3,293656
Vila Machado,Casa,85,137,3,3,294066
Vila São Paulo,Apartamento,64,0,2,1,294144
Vila Santa Isabel,Apartamento,107,0,3,3,294431
Jardim das Oliveiras,Casa,66,133,3,2,294482
Jardim América,Terreno,0,782,0,0,294970
Vila Industrial,Casa,98,166,3,3,295284
Parque Meia Lua,Casa,86,185,3,3,295354
Jardim Flórida,Casa,73,207,3,3,295777
Jardim do Lago,Apartamento,72,0,3,2,296071
Centro,Terreno,0,211,0,0,296191
Jardim Panorama,Casa,94,251,3,2,296571
Chácaras Reunidas Igarapés,Casa,146,416,4,2,297411
Sunset Garden,Apartamento,49,0,1,1,297920
Vila Branca,Casa,62,150,2,2,298623
Vila Industrial,Casa,66,203,2,1,298660
Vila Nossa Senhora Aparecida,Terreno,0,670,0,0,299088
Vila Elvira,Terreno,0,804,0,0,299570
Cidade Salvador,Terreno,0,793,0,0,299754
Vila Elvira,Casa,144,386,3,2,300279
Vila Nossa Senhora Aparecida,Casa,120,182,3,2,300352
Jardim Califórnia,Casa,70,131,2,2,301835
Jardim Flórida,Terreno,0,597,0,0,301932
Jardim Paraíba,Apartamento,84,0,3,2,302484
Residencial Terras de São José,Terreno,0,632,0,0,303360
Vila Industrial,Apartamento,118,0,3,2,304345
Jardim do Lago,Terreno,0,499,0,0,304489
Jardim Califórnia,Terreno,0,945,0,0,304573
Clube de Campo,Apartamento,53,0,2,1,305022
Vila Machado,Apartamento,81,0,2,1,305086
Vila Industrial,Apartamento,128,0,3,3,305459
Jardim Primavera,Casa,76,212,2,1,307108
Jardim Bela Vista,Apartamento,102,0,2,1,307713
Vila Nossa Senhora Aparecida,Casa,58,193,2,1,308640
Jardim Alvorada,Apartamento,74,0,2,1,309201
Residencial Terras de São José,Apartamento,58,0,3,3,309633
Vila Machado,Apartamento,59,0,2,2,309732
Jardim Alvorada,Apartamento,90,0,3,2,311472
Vila Branca,Terreno,0,503,0,0,311507
Jardim das Oliveiras,Terreno,0,896,0,0,311539
Vila Formosa,Apartamento,93,0,3,2,311861
Jardim das Oliveiras,Casa,124,196,5,3,311938
Jardim do Lago,Casa,47,184,2,1,313214
Chácaras Reunidas Igarapés,Apartamento,85,0,3,3,315422
Parque dos Príncipes,Apartamento,62,0,2,2,315753
Vila São Paulo,Apartamento,96,0,3,2,315864
Jardim Novo Horizonte,Casa,147,581,4,4,315936
Parque Meia Lua,Terreno,0,418,0,0,316927
Jardim Panorama,Casa,94,212,3,2,317002
Vila Elvira,Casa,115,188,3,3,317064
Jardim Novo Horizonte,Apartamento,90,0,3,2,317250
Parque dos Príncipes,Apartamento,48,0,2,1,317260
Jardim do Lago,Apartamento,67,0,2,1,318022
Parque Meia Lua,Terreno,0,1000,0,0,318750
Jardim Califórnia,Apartamento,95,0,3,3,319456
Jardim do Lago,Terreno,0,453,0,0,319840
Jardim Bela Vista,Casa,113,282,3,2,319990
Residencial Villa Lobos,Apartamento,74,0,2,1,321056
Vila Machado,Terreno,0,822,0,0,321813
Condomínio Portal de Jacareí,Apartamento,38,0,1,1,322004
Vila Formosa,Casa,109,277,3,2,323141
Parque Imperial,Apartamento,50,0,1,1,323510
Parque Meia Lua,Casa,130,285,3,2,323722
Jardim São José,Apartamento,73,0,2,1,324141
Vila Zilda,Apartamento,162,0,5,2,324218
Jardim Flórida,Casa,67,167,2,1,324456
Jardim Panorama,Casa,119,336,3,2,325252
Vila Industrial,Terreno,0,516,0,0,325286
Vila Zilda,Casa,103,311,3,3,325598
Condomínio Portal de Jacareí,Terreno,0,526,0,0,325672
Jardim Primavera,Apartamento,61,0,2,1,326200
Residencial Terras de São José,Apartamento,70,0,2,1,327285
Jardim das Indústrias,Apartamento,125,0,4,4,327375
Centro,Casa,54,155,2,1,328251
Residencial Villa Lobos,Terreno,0,303,0,0,328330
Vila Nossa Senhora Aparecida,Terreno,0,379,0,0,328668
Parque Imperial,Apartamento,74,0,3,3,329751
Vila Zilda,Casa,148,305,3,2,330223
Jardim Flórida,Apartamento,128,0,4,3,330860
Jardim das Oliveiras,Apartamento,65,0,2,1,331535
Jardim Santa Maria,Casa,78,141,2,1,331617
Jardim das Indústrias,Apartamento,89,0,4,2,332949
Vila Santa Isabel,Casa,89,326,4,4,333139
Jardim Novo Horizonte,Terreno,0,738,0,0,333871
Jardim do Lago,Casa,60,100,2,2,333990
Jardim Paraíba,Casa,66,119,2,2,334204
Condomínio Portal de Jacareí,Terreno,0,308,0,0,334503
Jardim Panorama,Apartamento,151,0,4,3,334751
Parque dos Príncipes,Apartamento,70,0,2,1,334908
Parque Residencial Flamboyant,Apartamento,106,0,3,3,334960
Jardim do Lago,Casa,76,227,3,2,334980
Clube de Campo,Casa,48,160,1,1,336040
Jardim Flórida,Terreno,0,731,0,0,337393
Sunset Garden,Apartamento,47,0,2,1,337497
Vila Nossa Senhora Aparecida,Casa,73,212,2,2,337656
Jardim Primavera,Apartamento,119,0,3,3,338019
Centro,Terreno,0,552,0,0,338100
Residencial Terras de São José,Apartamento,69,0,2,2,338859
Vila Branca,Casa,63,160,2,1,338914
Cidade Salvador,Apartamento,91,0,3,2,338984
Vila Garcia,Apartamento,115,0,3,2,339192
Centro,Apartamento,65,0,3,3,340031
Parque Imperial,Apartamento,56,0,3,2,340093
Jardim Panorama,Casa,72,241,2,1,340655
Jardim das Indústrias,Apartamento,77,0,2,2,341360
Jardim das Indústrias,Apartamento,92,0,3,2,342999
Vila Santa Isabel,Casa,98,188,2,1,343224
Condomínio Portal de Jacareí,Casa,67,157,3,2,343331
Cidade Salvador,Apartamento,132,0,3,2,343688
Parque Imperial,Casa,56,144,2,1,343904
Vila Machado,Casa,98,235,3,3,344049
Vila Machado,Casa,96,231,2,2,345046
Jardim Panorama,Apartamento,85,0,4,3,345338
Vila Elvira,Apartamento,115,0,3,3,346104
Vila Santa Isabel,Casa,130,386,4,2,346313
Vila Zezinho,Casa,90,293,2,2,346332
Jardim Santa Maria,Casa,64,208,2,1,346496
Vila Elvira,Casa,137,233,3,2,347166
Vila São Jorge,Apartamento,71,0,3,3,348574
Vila Zilda,Casa,105,405,3,2,348699
Jardim Califórnia,Apartamento,64,0,2,2,349254
Vila Nossa Senhora Aparecida,Casa,91,168,3,3,350257
Vila Elvira,Apartamento,141,0,3,3,350920
Parque Meia Lua,Apartamento,93,0,2,1,350982
Parque Residencial Flamboyant,Casa,82,282,3,3,351076
Jardim Paraíba,Casa,64,149,2,1,351591
Parque Residencial Flamboyant,Apartamento,140,0,4,2,352576
Jardim Primavera,Apartamento,121,0,3,2,352896
Jardim Panorama,Casa,74,287,2,1,353228
Jardim Nova Esperança,Apartamento,149,0,3,3,353264
Vila Machado,Apartamento,117,0,4,3,355387
Residencial Terras de São José,Apartamento,43,0,2,1,355459
Vila Formosa,Casa,128,391,4,3,355763
Jardim Novo Horizonte,Apartamento,121,0,3,3,356611
Jardim América,Apartamento,52,0,3,2,356826
Vila Branca,Casa,67,230,2,1,357121
Centro,Apartamento,89,0,2,2,357335
Vila São Jorge,Casa,106,387,4,4,358107
Jardim Flórida,Casa,112,380,4,4,358227
Chácaras Reunidas Igarapés,Apartamento,114,0,2,2,358421
Vila Zilda,Apartamento,126,0,4,4,359213
Cidade Salvador,Apartamento,87,0,2,1,359397
Vila Machado,Casa,111,432,4,3,359831
Vila Machado,Casa,102,161,3,3,359883
Cidade Salvador,Apartamento,128,0,4,2,360691
Vila Garcia,Apartamento,119,0,3,2,361712
Vila Zezinho,Casa,96,361,2,2,361901
Sunset Garden,Casa,52,174,3,2,362080
Vila Industrial,Casa,149,293,3,3,362351
Parque dos Príncipes,Casa,52,168,3,2,362956
Vila Elvira,Casa,97,372,2,1,362960
Jardim do Lago,Apartamento,87,0,2,1,363155
Vila Garcia,Casa,92,178,3,2,363466
Jardim Flórida,Casa,67,180,2,2,363902
Jardim Santa Maria,Apartamento,64,0,3,2,363904
Sunset Garden,Terreno,0,208,0,0,364083
Vila Santa Isabel,Terreno,0,645,0,0,364360
