bairro,tipo_imovel,area_construida,area_terreno,quartos,banheiros,preco
Vila Machado,Terreno,0,280,0,0,78400
Jardim América,Apartamento,108,0,3,2,410400
Parque dos Príncipes,Casa,248,530,5,4,1142400
Jardim das Oliveiras,Terreno,0,350,0,0,122500
Vila Garcia,Casa,102,195,2,2,265200
Jardim Califórnia,Apartamento,82,0,2,1,246000
Cidade Salvador,Casa,86,168,2,1,206400
Jardim São José,Terreno,0,380,0,0,110200
Villa Branca,Apartamento,165,0,4,3,858000
Parque Imperial,Casa,205,445,4,3,984000
Jardim Esperança,Apartamento,62,0,2,1,142600
Nova Jacareí,Terreno,0,290,0,0,98600
Jardim Primavera,Casa,195,415,4,3,668500
Centro,Casa,168,365,3,3,756000
Jardim Paraíba,Apartamento,85,0,2,1,272000
Vila Machado,Casa,118,240,3,2,330400
Jardim América,Casa,235,495,5,4,893000
Parque dos Príncipes,Terreno,0,720,0,0,302400
Jardim das Oliveiras,Casa,92,185,2,1,322000
Vila Garcia,Apartamento,58,0,1,1,150800
Jardim Califórnia,Casa,165,340,3,3,495000
Cidade Salvador,Terreno,0,190,0,0,45600
Jardim São José,Casa,142,295,3,2,426500
Villa Branca,Casa,315,780,6,5,1638000
Parque Imperial,Apartamento,125,0,3,2,600000
Jardim Esperança,Casa,81,162,2,1,186300
Nova Jacareí,Casa,155,325,3,3,527000
Jardim Primavera,Apartamento,88,0,2,2,273600
Terras de Santa Clara,Casa,180,380,4,3,702000
Portal Alvorada,Casa,195,415,4,3,799500
Sunset Garden,Casa,280,720,5,5,1540000
Clube de Campo,Casa,380,950,6,6,2280000
Veraneio Ijal,Casa,135,285,3,2,445500
Terras de Santa Clara,Apartamento,105,0,3,2,409500
Portal Alvorada,Terreno,0,600,0,0,246000
Sunset Garden,Terreno,0,800,0,0,440000
Clube de Campo,Terreno,0,1200,0,0,720000
Veraneio Ijal,Apartamento,78,0,2,1,257400
Terras de Santa Clara,Casa,205,425,4,3,799500
Portal Alvorada,Casa,168,355,3,3,688400
Sunset Garden,Casa,320,850,6,5,1760000
Clube de Campo,Casa,420,1100,7,6,2520000
Veraneio Ijal,Casa,122,258,3,2,402600
Terras de Santa Clara,Terreno,0,450,0,0,175500
Portal Alvorada,Apartamento,92,0,2,2,377200
Sunset Garden,Apartamento,150,0,4,3,825000
Veraneio Ijal,Terreno,0,320,0,0,105600
